卷一 李世民
卷四百九十三 沈亞之
卷四百九十四 施肩吾
卷四百九十五 費冠卿
卷四百九十六 姚合
卷四百九十七 姚合
卷四百九十八 姚合
卷四百九十九 姚合
卷五百 姚合
卷五百一 姚合
卷五百二 姚合
卷五百三 周賀
卷五百四 鄭巢
卷五百五 呂群
卷五百六 章孝標
卷五百七 蔣防
卷五百八 孔溫業
卷五百九 顧非熊
卷五百十 張祜
卷五百十一 張祜
卷五百十二 楊洵美
卷五百十三 裴夷直
卷五百十四 朱慶餘
卷五百十五 朱慶餘
卷五百十六 王彥威
卷五百十七 楊發
卷五百十八 雍陶
卷五百十九 李遠
卷五百二十 杜牧
卷五百二十一 杜牧
卷五百二十二 杜牧
卷五百二十三 杜牧
卷五百二十四 杜牧
卷五百二十五 杜牧
卷五百二十六 杜牧
卷五百二十七 杜牧
卷五百二十八 許渾
卷五百二十九 許渾
卷五百三十 許渾
卷五百三十一 許渾
卷五百三十二 許渾
卷五百三十三 許渾
卷五百三十四 許渾
卷五百三十五 許渾
卷五百三十六 許渾
卷五百三十七 許渾
卷五百三十八 許渾
卷五百三十九 李商隱
卷五百四十 李商隱
卷五百四十一 李商隱
卷五百四十二 紀唐夫
卷五百四十三 喻鳧
卷五百四十四 劉得仁
卷五百四十五 劉得仁
卷五百四十六 權審
卷五百四十七 朱景玄
卷五百四十八 薛逢
卷五百四十九 趙嘏
卷五百五十 趙嘏
卷五百五十一 盧肇
卷五百五十二 丁棱
卷五百五十三 姚鵠
卷五百五十四 項斯
卷五百五十五 馬戴
卷五百五十六 馬戴
卷五百五十七 易重
卷五百五十八 薛能
卷五百五十九 薛能
卷五百六十 薛能
卷五百六十一 薛能
卷五百六十二 劉威
卷五百六十三 裴休
卷五百六十四 于興宗
卷五百六十五 韓琮
卷五百六十六 王傳
卷五百六十七 鄭嵎
卷五百六十八 李群玉
卷五百六十九 李群玉
卷五百七十 李群玉
卷五百七十一 賈島
卷五百七十二 賈島
卷五百七十三 賈島
卷五百七十四 賈島
卷五百七十五 溫庭筠
卷五百七十六 溫庭筠
卷五百七十七 溫庭筠
卷五百七十八 溫庭筠
卷五百七十九 溫庭筠
卷五百八十 溫庭筠
卷五百八十一 溫庭筠
卷五百八十二 溫庭筠
卷五百八十三 溫庭筠
卷五百八十四 段成式
卷五百八十五 劉駕
卷五百八十六 劉滄
卷五百八十七 李頻
卷五百八十八 李頻
卷五百八十九 李頻
卷五百九十 李郢
卷五百九十一 崔玨
卷五百九十二 曹鄴
卷五百九十三 曹鄴
卷五百九十四 儲嗣宗
卷五百九十五 于武陵
卷五百九十六 司馬紮
卷五百九十七 徐商
卷五百九十八 高駢
卷五百九十九 於濆
卷六百 牛征
卷六百一 李昌符
卷六百二 汪遵
卷六百三 許棠
卷六百四 許棠
卷六百五 邵謁
卷六百六 林寬
卷六百七 劉鄴
卷六百八 皮日休
卷六百九 皮日休
卷六百十 皮日休
卷六百十一 皮日休
卷六百十二 皮日休
卷六百十三 皮日休
卷六百十四 皮日休
卷六百十五 皮日休
卷六百十六 皮日休
卷六百十七 陸龜蒙
卷六百十八 陸龜蒙
卷六百十九 陸龜蒙
卷六百二十 陸龜蒙
卷六百二十一 陸龜蒙
卷六百二十二 陸龜蒙
卷六百二十三 陸龜蒙
卷六百二十四 陸龜蒙
卷六百二十五 陸龜蒙
卷六百二十六 陸龜蒙
卷六百二十七 陸龜蒙
卷六百二十八 陸龜蒙
卷六百二十九 陸龜蒙
卷六百三十 陸龜蒙
卷六百三十一 張賁
卷六百三十二 司空圖
卷六百三十三 司空圖
卷六百三十四 司空圖
卷六百三十五 周繇
卷六百三十六 顧雲
卷六百三十七 張喬
卷六百三十八 張喬
卷六百三十九 張喬
卷六百四十 曹唐
卷六百四十一 曹唐
卷六百四十二 來鵠
卷六百四十三 李山甫
卷六百四十四 李鹹用
卷六百四十五 李鹹用
卷六百四十六 李鹹用
卷六百四十七 胡曾
卷六百四十八 方幹
卷六百四十九 方幹
卷六百五十 方幹
卷六百五十一 方幹
卷六百五十二 方幹
卷六百五十三 方幹
卷六百五十四 羅鄴
卷六百五十五 羅隱
卷六百五十六 羅隱
卷六百五十七 羅隱
卷六百五十八 羅隱
卷六百五十九 羅隱
卷六百六十 羅隱
卷六百六十一 羅隱
卷六百六十二 羅隱
卷六百六十三 羅隱
卷六百六十四 羅隱
卷六百六十五 羅隱
卷六百六十六 羅虯
卷六百六十七 鄭損
卷六百六十八 高蟾
卷六百六十九 章碣
卷六百七十 秦韜玉
卷六百七十一 唐彥謙
卷六百七十二 唐彥謙
卷六百七十三 周樸
卷六百七十四 鄭穀
卷六百七十五 鄭穀
卷六百七十六 鄭穀
卷六百七十七 鄭穀
卷六百七十八 許彬
卷六百七十九 崔塗
卷六百八十 韓偓
卷六百八十一 韓偓
卷六百八十二 韓偓
卷六百八十三 韓偓
卷六百八十四 吳融
卷六百八十五 吳融
卷六百八十六 吳融
卷六百八十七 吳融
卷六百八十八 孫偓
卷六百八十九 陸希聲
卷六百九十 王駕
卷六百九十一 杜荀鶴
卷六百九十二 杜荀鶴
卷六百九十三 杜荀鶴
卷六百九十四 張道古
卷六百九十五 韋莊
卷六百九十六 韋莊
卷六百九十七 韋莊
卷六百九十八 韋莊
卷六百九十九 韋莊
卷七百 韋莊
卷七百一 王貞白
卷七百二 張蠙
卷七百三 翁承贊
卷七百四 黃滔
卷七百五 黃滔
卷七百六 黃滔
卷七百七 殷文圭
卷七百八 徐夤
卷七百九 徐夤
卷七百十 徐夤
卷七百十一 徐夤
卷七百十二 錢珝
卷七百十三 喻坦之
卷七百十四 崔道融
卷七百十五 盧延讓
卷七百十六 曹松
卷七百十七 曹松
卷七百十八 蘇拯
卷七百十九 路德延
卷七百二十 裴說
卷七百二十一 李洞
卷七百二十二 李洞
卷七百二十三 李洞
卷七百二十四 唐求
卷七百二十五 於鄴
卷七百二十六 陸貞洞
卷七百二十七 胡令能
卷七百二十八 周曇
卷七百二十九 周曇
卷七百三十 李九齡
卷七百三十一 胡宿
卷七百三十二 高力士
卷七百三十三 李密
卷七百三十四 羅紹威
卷七百三十五 和凝
卷七百三十六 王仁裕
卷七百三十七 馮道
卷七百三十八 宋齊丘
卷七百三十九 李建勳
卷七百四十 孟賓於
卷七百四十一 陳貺
卷七百四十二 張泌
卷七百四十三 孫魴
卷七百四十四 伍喬
卷七百四十五 陳陶
卷七百四十六 陳陶
卷七百四十七 李中
卷七百四十八 李中
卷七百四十九 李中
卷七百五十 李中
卷七百五十一 徐鉉
卷七百五十二 徐鉉
卷七百五十三 徐鉉
卷七百五十四 徐鉉
卷七百五十五 徐鉉
卷七百五十六 徐鉉
卷七百五十七 徐鍇
卷七百五十八 孟貫
卷七百五十九 成彥雄
卷七百六十 周庠
卷七百六十一 徐光溥
卷七百六十二 劉昭禹
卷七百六十三 楊夔
卷七百六十四 譚用之
卷七百六十五 王周
卷七百六十六 劉兼
卷七百六十七 孫元晏
卷七百六十八 嚴識玄
卷七百六十九 鄭軌
卷七百七十 董初
卷七百七十一 宋雍
卷七百七十二 趙起
卷七百七十三 蕭意
卷七百七十四 吉師老
卷七百七十五 崔江
卷七百七十六 馮道之
卷七百七十七 邢象玉
卷七百七十八 李季華
卷七百七十九 王約
卷七百八十 鄭蕡
卷七百八十一 趙鐸
卷七百八十二員 南溟
卷七百八十三辛 學士
卷七百八十四景 龍文館士
卷七百八十五 無名氏
卷七百八十六 無名氏
卷七百八十七 無名氏
卷七百八十八 聯句
卷七百八十九 聯句
卷七百九十 聯句
卷七百九十一 聯句
卷七百九十二 聯句
卷七百九十三 聯句
卷七百九十四 聯句
卷七百九十五 佚句
卷七百九十六 佚句
卷七百九十七 宮人
卷七百九十八 花蕊夫人
卷七百九十九 楊容華
卷八百 柳氏
卷八百一 郎大家宋氏
卷八百二 關盼盼
卷八百三 薛濤
卷八百四 魚玄機
卷八百五 李冶
卷八百六 寒山
卷八百七 拾得
卷八百八 慧宣
卷八百九 靈一
卷八百十 靈澈
卷八百十一 護國
卷八百十二 清江
卷八百十三 無可
卷八百十四 無可
卷八百十五 皎然
卷八百十六 皎然
卷八百十七 皎然
卷八百十八 皎然
卷八百十九 皎然
卷八百二十 皎然
卷八百二十一 皎然
卷八百二十二 廣宣
卷八百二十三 含曦
卷八百二十四 子蘭
卷八百二十五 可止
卷八百二十六 貫休
卷八百二十七 貫休
卷八百二十八 貫休
卷八百二十九 貫休
卷八百三十 貫休
卷八百三十一 貫休
卷八百三十二 貫休
卷八百三十三 貫休
卷八百三十四 貫休
卷八百三十五 貫休
卷八百三十六 貫休
卷八百三十七 貫休
卷八百三十八 齊己
卷八百三十九 齊己
卷八百四十 齊己
卷八百四十一 齊己
卷八百四十二 齊己
卷八百四十三 齊己
卷八百四十四 齊己
卷八百四十五 齊己
卷八百四十六 齊己
卷八百四十七 齊己
卷八百四十八 尚顏
卷八百四十九 可朋
卷八百五十 曇翼
卷八百五十一 慈恩寺沙門
卷八百五十二 司馬承禎
卷八百五十三 吳筠
卷八百五十四 杜光庭
卷八百五十五 鄭遨
卷八百五十六 呂岩
卷八百五十七 呂岩
卷八百五十八 呂岩
卷八百五十九 呂岩
卷八百六十 孫思邈
卷八百六十一 馬湘
卷八百六十二 清遠道士
卷八百六十三 張雲容
卷八百六十四 洞庭龍君
卷八百六十五 慕容垂
卷八百六十六 九華山白衣
卷八百六十七 原陵老翁
卷八百六十八 李亨
卷八百六十九 李淵
卷八百七十 高亭
卷八百七十一 甘洽
卷八百七十二 無名氏
卷八百七十三 李兼
卷八百七十四 雜辭
卷八百七十五 雜祠
卷八百七十六 雜辭
卷八百七十七 雜辭
卷八百七十八 雜辭
卷八百七十九 雜辭
卷八百八十 雜辭
卷八百八十一 李瀚
卷八百八十二 褚亮
卷八百八十三 嚴維
卷八百八十四 杜牧
卷八百八十五 皮日休
卷八百八十六 曹松
卷八百八十七 盧言
卷八百八十八 靈澈
卷八百八十九 詞
卷八百九十 詞
卷八百九十一 詞
卷八百九十二 詞
卷八百九十三 詞
卷八百九十四 詞
卷八百九十五 詞
卷八百九十六 詞
卷八百九十七 詞
卷八百九十八 詞
卷八百九十九 詞
卷九百 詞
